course_id,course_name,course_category
1,Machine Learning Fundamentals,Data Science
2,Python for Beginners,Programming
3,Artificial Intelligence in Business,Business
4,Web Development Masterclass,Programming
5,Data Analysis with Pandas and NumPy,Data Science
6,Photography Basics,Art
7,Financial Planning and Budgeting,Business
8,Full Stack Web Development,Programming
9,Graphic Design Essentials,Art
10,Introduction to Blockchain,Technology
11,Advanced Excel Techniques,Business
12,JavaScript for Front-End Development,Programming
13,Introduction to Psychology,Psychology
14,Mobile App Development with React Native,Programming
15,The Art of Storytelling in Film,Art
16,Stock Market Investing Strategies,Finance
17,Machine Learning with TensorFlow,Data Science
18,Game Development with Unity,Programming
19,Introduction to Marketing,Marketing
20,Interior Design Basics,Art
21,Deep Learning Fundamentals,Data Science
22,Java Programming Mastery,Programming
23,Entrepreneurship Essentials,Business
24,UX/UI Design Principles,Design
25,Applied Statistics for Data Science,Data Science
26,Digital Marketing Strategies,Marketing
27,Creative Writing Workshop,Art
28,Agile Project Management,Technology
29,Social Media Marketing Mastery,Marketing
30,Introduction to Astronomy,Science
